"","summary(people$from)","count"
"H",9402,1
"Mills Cheryl D",4383,1
"Abedin Huma",4281,1
"Sullivan Jacob",3185,1
"OpsNewsTicker",915,1
"Jiloty Lauren C",912,1
"",726,1
"sbwhoeop",611,1
"AnneMarie Slaughter",593,1
"Hanley Monica R",438,1
"Valmoro Lona J",419,1
"McHale Judith A",376,1
"Huma Abedin",362,1
"Verma Richard R",356,1
"Verveer Melanne S",312,1
"PIR",275,1
"OpsNewsTicker@stategov",240,1
"Gordon Philip H",223,1
"Toiv Nora F",203,1
"Reines Philippe I",198,1
"Feltman Jeffrey D",184,1
"OpsAlert",150,1
"Muscatine Lissa",140,1
"Burns William",139,1
"Rodriguez Miguel E",138,1
"Strobe Talbott",133,1
"Cheryl Mills",124,1
"Coleman Claire L",123,1
"Balderston Kris M",120,1
"Jacob Sullivan",120,1
"Kennedy Patrick F",117,1
"Evergreen",113,1
"Campbell Kurt M",107,1
"McDonough Denis R",101,1
"aclb",99,1
"Russo Robert V",93,1
"Ebeling Betsy",87,1
"Koh Harold Hongju",87,1
"Louis Pierre A",87,1
"Mull Stephen D",85,1
"Carson Johnnie",83,1
"Lissa Muscatine",82,1
"Crowley Philip J",80,1
"Cherie Blair",79,1
"Smith Daniel B",73,1
"Lew Jacob",72,1
"Sullivan JacobJ",69,1
"Ivalmoro",68,1
"Burns Strider",67,1
"Valmoro Lona",65,1
"Kelly Craig A",63,1
"Shannon Thomas A",63,1
"Neera Tanden",59,1
"Schwerin Daniel B",57,1
"Valenzuela Arturo A",57,1
"Feldman Daniel F",56,1
"Hammer Michael A",56,1
"Klevorick Caitlin B",56,1
"Simmons Krista M",53,1
"Rice Susan E",51,1
"Sherman Wendy R",51,1
"jakesullivan",49,1
"cherylmills",48,1
"PVerveer",48,1
"Withers Anne M",47,1
"Nides Thomas R",43,1
"Jeffrey L Farrow",42,1
"Merten Kenneth H",41,1
"Moore Anna W",41,1
"Stern Todd D",41,1
"Ross Alec",40,1
"Wells Alice G",40,1
"Curtis Meghann A",39,1
"Holbrooke Richard",39,1
"Posner Michael H",39,1
"Brimmer Esther D",38,1
"Kazemi Shamim",38,1
"Damour Marie C",37,1
"Laszczych Joanne",37,1
"Mikulski BAM",37,1
"Pascual Carlos",37,1
"Sullivan Jacob I",37,1
"Goosby Eric",36,1
"Hale David M",36,1
"Reynoso Julissa",36,1
"Rudman Mara",36,1
"Tauscher Ellen",36,1
"Donilon Thomas E",35,1
"Hyde Dana",34,1
"Meehan Bernadette M",34,1
"Abbaszadeh Nima",33,1
"Fuchs Michael H",33,1
"pverveer",33,1
"Rooney Megan",33,1
"Lucas Laura D",31,1
"Munter Cameron P",31,1
"Ross Alec J",31,1
"sbwhoeor",31,1
"Sidney Blumenthal",31,1
"(Other)",7192,1
